Y1,Y2,Y3,Y4,Y5
100,10000,10000,10000,10000
#ff4,#f40,#4af,#080,yellow
0,2,0,0,0
,A,,,
{},{},{},{},"{""0"": ""disable"", ""1"": ""enable"", ""2"": ""rsvd""}"
0.0,20.692575334838,50,-30,2
0.6279051952931337,19.78280976664052,50,20,1
1.2533323356430426,17.70725570342475,50,20,1
1.8738131458572462,21.97456565818605,50,20,2
2.486898871648548,20.6464853600788,50,20,1
3.090169943749474,22.024903770278854,50,20,2
3.6812455268467796,17.584755856325295,50,20,1
4.257792915650727,18.604100323676427,50,20,2
4.817536741017153,18.947298235808386,50,20,2
5.358267949789966,18.5746196772753,50,20,1
5.877852522924732,20.834456392816858,50,20,2
6.3742398974868975,21.032974833754807,50,20,1
6.845471059286887,22.12592482224768,50,20,1
7.289686274214116,21.472054128597485,50,20,2
7.705132427757892,22.07046303170295,50,20,2
8.090169943749475,21.26446036057894,50,20,2
8.443279255020151,21.281453543645704,50,20,2
8.763066800438637,19.513120521707457,50,20,1
9.048270524660197,20.18873436203167,50,20,1
9.297764858882514,20.860424428187304,50,20,2
9.510565162951535,22.43768797971152,50,-30,1
9.68583161128631,17.833988325482384,50,20,2
9.822872507286887,18.575948605346536,50,20,2
9.921147013144779,18.422382469060754,50,20,2
9.980267284282716,20.17091196240188,50,20,1
10.0,18.60633486370609,50,20,1
9.980267284282716,18.113983030914042,50,20,1
9.921147013144777,18.26789834913948,50,20,1
9.822872507286887,20.994844539108886,50,20,2
9.68583161128631,19.06283043950434,50,20,2
9.510565162951535,17.785663099690545,50,20,2
9.297764858882513,20.70165453916212,50,20,2
9.048270524660195,22.023453306473353,50,20,2
8.763066800438635,18.8989403169971,50,20,2
8.44327925502015,18.278357126340392,50,20,2
8.090169943749475,17.84187710531704,50,20,2
7.705132427757892,17.999377743696563,50,20,1
7.289686274214116,19.707186326109422,50,20,2
6.845471059286885,18.981462967524887,50,20,2
6.374239897486895,18.56995433995342,50,20,2
5.877852522924733,21.40665767922743,50,-30,1
5.358267949789966,19.342172466553734,50,20,1
4.817536741017152,20.25623848096815,50,20,2
4.257792915650725,18.04949771838372,50,20,1
3.681245526846777,18.111367284934282,50,20,1
3.090169943749471,20.431363921588723,50,20,1
2.486898871648548,18.381201026281115,50,20,1
1.8738131458572456,18.909360211739134,50,20,2
1.2533323356430408,19.418450906176048,50,20,1
0.6279051952931314,19.147488155696365,50,20,2
-3.216245299353273e-15,20.51507412825373,50,20,2
-0.6279051952931334,17.596448263612125,50,20,2
-1.253332335643043,19.691894865607274,50,20,2
-1.8738131458572478,19.373484666459415,50,20,2
-2.4868988716485503,20.654276050303118,50,20,1
-3.090169943749477,22.104266330675046,50,20,2
-3.6812455268467836,18.94701571178478,50,20,1
-4.257792915650727,18.567204719552485,50,20,1
-4.817536741017154,20.62828372866374,50,20,2
-5.358267949789967,20.884605325087463,50,20,1
-5.877852522924734,18.487103930875577,50,-30,2
-6.3742398974869,21.572412930926422,50,20,2
-6.845471059286887,20.035256139177758,50,20,1
-7.289686274214116,17.605020234897722,50,20,2
-7.705132427757894,19.183982117162188,50,20,1
-8.090169943749473,20.57608235332241,50,20,1
-8.443279255020153,18.850031887343704,50,20,1
-8.763066800438637,17.588963557041836,50,20,2
-9.048270524660198,20.434049836986784,50,20,1
-9.297764858882514,19.926163871452463,50,20,1
-9.510565162951535,22.188285738326183,50,20,1
-9.685831611286313,18.735897767312917,50,20,1
-9.822872507286887,20.247672878971883,50,20,2
-9.921147013144779,22.049877328433215,50,20,2
-9.980267284282716,17.84620634601975,50,20,2
-10.0,17.697897749534306,50,20,1
-9.980267284282716,18.243680202991115,50,20,2
-9.921147013144779,18.746839486056583,50,20,2
-9.822872507286887,21.47602562227133,50,20,2
-9.68583161128631,19.82703085834205,50,20,2
-9.510565162951536,19.71593403133169,50,-30,1
-9.297764858882513,21.872045603697472,50,20,2
